model,family,benchmark,thinking,score,reasoning_tokens,output_tokens,gen_tokens,cost_reasoning,cost_total,RCS_pct,price_per_million_output,source
Claude Sonnet 4.6 (max),Claude,CritPt,1,0.031,16000000.0,38000.0,16038000.0,240.0,241.095,99.55,15.0,aa
Claude Sonnet 4.6,Claude,HLE,1,0.3,130000000.0,1000000.0,131000000.0,1950.0,1967.475,99.11,15.0,aa
DeepSeek V4 Pro (Max),DeepSeek,HLE,1,0.359,110000000.0,800000.0,110800000.0,382.8,386.6802,99.0,3.48,aa
DeepSeek V4 Pro (Max),DeepSeek,GPQA Diamond,1,0.888,5800000.0,53000.0,5853000.0,20.184,20.4537,98.68,3.48,aa
DeepSeek V4 Pro (High),DeepSeek,HLE,1,0.335,70000000.0,610000.0,70610000.0,243.6,246.8712,98.67,3.48,aa
Qwen3.6 27B,Qwen,HLE,1,0.216,64000000.0,800000.0,64800000.0,230.4,233.682,98.6,3.6,self
GLM-5,GLM,GPQA Diamond,1,0.82,3100000.0,38000.0,3138000.0,9.92,10.0906,98.31,3.2,aa
Kimi K2.6,Kimi,CritPt,1,0.08,13000000.0,230000.0,13230000.0,52.0,53.053,98.02,4.0,aa
Claude Sonnet 4.6,Claude,GPQA Diamond,1,0.875,5300000.0,100000.0,5400000.0,79.5,81.18375,97.93,15.0,aa
Grok 4.3 (high),Grok,HLE,1,0.35,52000000.0,840000.0,52840000.0,130.0,132.9,97.82,2.5,aa
GPT-5.5 (xhigh),GPT,HLE,1,0.443,27000000.0,500000.0,27500000.0,810.0,828.35,97.78,30.0,aa
GLM 4.7,GLM,MMLU-Pro,1,0.856,50000000.0,450000.0,50450000.0,110.0,112.67,97.63,2.2,aa
Gemini 3 Flash,Gemini,HLE,1,0.347,42000000.0,930000.0,42930000.0,126.0,129.125,97.58,3.0,aa
Qwen3.5 397B A17B,Qwen,HLE,1,0.273,44000000.0,1000000.0,45000000.0,158.4,162.402,97.54,3.6,self
Claude Opus 4.7,Claude,HLE,1,0.396,60000000.0,1400000.0,61400000.0,1500.0,1539.0625,97.46,25.0,aa
DeepSeek V4 Pro (Max),DeepSeek,IFBench,1,0.765,3200000.0,72000.0,3272000.0,11.136,11.43006,97.43,3.48,aa
GLM-4.7,GLM,AIME 2025,1,0.95,590000.0,15000.0,605000.0,1.888,1.9403,97.3,3.2,aa
GLM-4.7,GLM,LiveCodeBench,1,0.894,19000000.0,370000.0,19370000.0,60.8,62.494,97.29,3.2,aa
Qwen3.5-397B-A17B,Qwen,IFBench,1,0.788,2600000.0,69000.0,2669000.0,9.36,9.6234,97.26,3.6,self
DeepSeek V4 Pro (High),DeepSeek,GPQA Diamond,1,0.905,2100000.0,37000.0,2137000.0,7.308,7.52202,97.15,3.48,aa
Gemma 4 26B A4B,Gemma,HLE,1,0.183,33000000.0,1000000.0,34000000.0,9.9,10.236,96.72,0.3,self
Claude Opus 4.7 (max),Claude,CritPt,1,0.12,4300000.0,97000.0,4397000.0,107.5,111.3,96.59,25.0,aa
GPT-5.2 (xhigh),GPT,LiveCodeBench,1,0.889,12000000.0,350000.0,12350000.0,360.0,372.95,96.53,30.0,aa
DeepSeek V4 Pro (Max),DeepSeek,CritPt,1,0.129,7400000.0,110000.0,7510000.0,25.752,26.6916,96.48,3.48,aa
Qwen3.6-27B,Qwen,IFBench,1,0.676,3300000.0,120000.0,3420000.0,11.88,12.327,96.37,3.6,self
DeepSeek V3.2,DeepSeek,AIME 2025,1,0.92,450000.0,15000.0,465000.0,1.566,1.625682,96.33,3.48,aa
GPT-5.5 (high),GPT,HLE,1,0.43,16000000.0,520000.0,16520000.0,480.0,498.95,96.2,30.0,aa
Claude Opus 4.7 (max),Claude,GPQA Diamond,1,0.914,2500000.0,89000.0,2589000.0,62.5,65.01875,96.13,25.0,aa
Gemini 3 Flash,Gemini,IFBench,1,0.78,2200000.0,88000.0,2288000.0,6.6,6.8765,95.98,3.0,aa
GPT 5.5 (xhigh),GPT,GPQA Diamond,1,0.935,970000.0,33000.0,1003000.0,29.1,30.335,95.93,30.0,aa
GLM-5.1,GLM,CritPt,1,0.046,5900000.0,210000.0,6110000.0,18.88,19.692,95.88,3.2,aa
Gemini 3.1 Pro,Gemini,HLE,1,0.447,34000000.0,1400000.0,35400000.0,408.0,426.14,95.74,12.0,aa
Gemini 3 Flash,Gemini,LiveCodeBench,1,0.908,17000000.0,680000.0,17680000.0,51.0,53.295,95.69,3.0,aa
DeepSeek V4 Pro (High),DeepSeek,CritPt,1,0.1,5200000.0,120000.0,5320000.0,18.096,18.9312,95.59,3.48,aa
Gemini 3 Flash,Gemini,GPQA Diamond,1,0.898,2700000.0,120000.0,2820000.0,8.1,8.4845,95.47,3.0,aa
Gemini 3 Flash,Gemini,AIME 2025,1,0.97,530000.0,25000.0,555000.0,1.59,1.66715,95.37,3.0,aa
Gemini 3 Flash,Gemini,CritPt,1,0.086,3600000.0,140000.0,3740000.0,10.8,11.34,95.24,3.0,aa
GPT-5.5 (xhigh),GPT,CritPt,1,0.271,3600000.0,160000.0,3760000.0,108.0,113.5,95.15,30.0,aa
Grok 4.1 Fast,Grok,LiveCodeBench,1,0.822,10000000.0,320000.0,10320000.0,5.0,5.262,95.02,0.5,aa
Qwen3.6-27B,Qwen,GPQA Diamond,1,0.842,2200000.0,110000.0,2310000.0,7.92,8.3454,94.9,3.6,self
Qwen3 235B A22B 2507,Qwen,AIME 2025,1,0.91,610000.0,32000.0,642000.0,1.3115,1.38202,94.9,2.15,self
DeepSeek V3.2,DeepSeek,LiveCodeBench,1,0.862,12000000.0,410000.0,12410000.0,41.76,44.0742,94.75,3.48,aa
Grok 4.20 0309,Grok,IFBench,1,0.829,970000.0,48000.0,1018000.0,5.82,6.158,94.51,6.0,aa
Gemini 3 Flash,Gemini,MMLU-Pro,1,0.89,88000000.0,4700000.0,92700000.0,264.0,279.5,94.45,3.0,aa
Grok 4.3 (high),Grok,CritPt,1,0.08,3400000.0,96000.0,3496000.0,8.5,9.015,94.29,2.5,aa
Qwen3 235B A22B 2507,Qwen,LiveCodeBench,1,0.788,17000000.0,940000.0,17940000.0,36.55,38.775,94.26,2.15,self
Qwen3.6 27B,Qwen,CritPt,1,0.009,3000000.0,140000.0,3140000.0,10.8,11.46,94.24,3.6,self
Gemma 4 26B-A4B,Gemma,GPQA Diamond,1,0.792,2300000.0,140000.0,2440000.0,0.69,0.73494,93.89,0.3,self
GLM-5.1,GLM,IFBench,1,0.763,1600000.0,99000.0,1699000.0,7.04,7.5106,93.73,4.4,aa
GPT 5.2 xhigh,GPT,MMLU-Pro,1,0.874,30000000.0,1700000.0,31700000.0,420.0,448.7,93.6,14.0,aa
Gemini 3 Pro,Gemini,LiveCodeBench,1,0.917,11000000.0,680000.0,11680000.0,132.0,141.18,93.5,12.0,aa
GPT-5.2 (xhigh),GPT,AIME 2025,1,0.99,370000.0,26000.0,396000.0,11.1,11.9015,93.27,30.0,aa
DeepSeek V4 Pro (High),DeepSeek,IFBench,1,0.713,1200000.0,78000.0,1278000.0,4.176,4.49094,92.99,3.48,aa
Claude Opus 4.7,Claude,IFBench,1,0.586,1500000.0,110000.0,1610000.0,37.5,40.36875,92.89,25.0,aa
Qwen3 32B,Qwen,AIME 2025,1,0.73,410000.0,31000.0,441000.0,0.2132,0.2301585,92.63,0.52,self
GPT 5.5 (high),GPT,GPQA Diamond,1,0.932,550000.0,36000.0,586000.0,16.5,17.825,92.57,30.0,aa
Claude 4.5 Sonnet,Claude,AIME 2025,1,0.88,250000.0,20000.0,270000.0,3.75,4.066125,92.23,15.0,matharena
Qwen3 32B,Qwen,LiveCodeBench,1,0.546,6700000.0,450000.0,7150000.0,3.484,3.796,91.78,0.52,self
Qwen3.5 397B A17B,Qwen,CritPt,1,0.017,2800000.0,230000.0,3030000.0,10.08,10.992,91.7,3.6,self
GPT-5.5 (high),GPT,CritPt,1,0.254,2000000.0,170000.0,2170000.0,60.0,65.8,91.19,30.0,aa
Claude Opus 4.5,Claude,AIME 2025,1,0.913,215000.0,20000.0,235000.0,5.375,5.901875,91.07,25.0,matharena
Gemma 4 31B,Gemma,HLE,1,0.227,17000000.0,1500000.0,18500000.0,6.29,6.9254,90.83,0.37,self
DeepSeek V3.2,DeepSeek,MMLU-Pro,1,0.862,28000000.0,1000000.0,29000000.0,12.6,13.89,90.71,0.45,aa
Gemini 3.5 Flash,Gemini,GPQA Diamond,1,0.922,990000.0,110000.0,1100000.0,8.91,9.9735,89.34,9.0,aa
Grok 4.1 Fast,Grok,MMLU-Pro,1,0.854,23000000.0,1800000.0,24800000.0,11.5,12.96,88.73,0.5,aa
Gemini 3.1 Pro,Gemini,GPQA Diamond,1,0.941,1000000.0,120000.0,1120000.0,12.0,13.538,88.64,12.0,aa
Qwen3.5-397B-A17B,Qwen,GPQA Diamond,1,0.893,1200000.0,150000.0,1350000.0,4.32,4.8894,88.35,3.6,self
Gemma 4 31B,Gemma,CritPt,1,0.014,2000000.0,220000.0,2220000.0,0.74,0.8382,88.28,0.37,self
GPT-5.2 (medium),GPT,LiveCodeBench,1,0.894,3400000.0,380000.0,3780000.0,102.0,115.95,87.97,30.0,aa
Gemini 3 Pro (high),Gemini,MMLU-Pro,1,0.898,38000000.0,5200000.0,43200000.0,456.0,524.0,87.02,12.0,aa
Qwen3-235B-A22B 2507,Qwen,MMLU-Pro,1,0.843,37000000.0,5300000.0,42300000.0,79.55,92.065,86.41,2.15,self
Gemma 4 31B,Gemma,GPQA Diamond,1,0.857,980000.0,140000.0,1120000.0,0.3626,0.42028,86.28,0.37,self
Claude Opus 4.5,Claude,LiveCodeBench,1,0.871,4700000.0,630000.0,5330000.0,117.5,136.375,86.16,25.0,aa
GPT 5.5 xhigh,GPT,IFBench,1,0.759,910000.0,150000.0,1060000.0,27.3,31.925,85.51,30.0,aa
GPT-5.2 (medium),GPT,AIME 2025,1,0.967,150000.0,26000.0,176000.0,4.5,5.3015,84.88,30.0,aa
Claude Sonnet 4.5,Claude,MMLU-Pro,1,0.875,23000000.0,3500000.0,26500000.0,345.0,407.625,84.64,15.0,aa
Claude 4.5 Sonnet,Claude,LiveCodeBench,1,0.714,3200000.0,540000.0,3740000.0,48.0,58.0125,82.74,15.0,aa
Qwen3 32B,Qwen,MMLU-Pro,1,0.798,22000000.0,3900000.0,25900000.0,11.44,13.9945,81.75,0.52,self
Grok 4.3 (low),Grok,HLE,1,0.173,5100000.0,850000.0,5950000.0,12.75,15.7125,81.15,2.5,aa
Qwen3-235B-A22B 2507,Qwen,IFBench,1,0.512,610000.0,160000.0,770000.0,1.3115,1.6655,78.75,2.15,self
GPT 5.5 high,GPT,IFBench,1,0.716,540000.0,160000.0,700000.0,16.2,21.125,76.69,30.0,aa
Claude Opus 4.5,Claude,MMLU-Pro,1,0.895,14000000.0,4200000.0,18200000.0,350.0,471.875,74.17,25.0,aa
GPT 5.2 medium,GPT,MMLU-Pro,1,0.859,3800000.0,1600000.0,5400000.0,53.2,80.325,66.23,14.0,aa
Gemini 3 Pro (low),Gemini,MMLU-Pro,1,0.895,1400000.0,8700000.0,10100000.0,16.8,126.8,13.25,12.0,aa
